headline,word_count,keywords,date,id
"Review: Alvin Ailey, at City Center, Maintains Polished Approach to Familiar Footwork",403,"['Dancing', 'Battle, Robert', 'New York City Center Theater', 'Ailey, Alvin, American Dance Theater', 'Blues Suite (Dance)', 'Revelations (Dance)']",2015-12-18,56733bdc38f0d85bed90f410
New York Celebrates Billy Strayhorn&#8217;s Centennial With Special &#8216;A Train&#8217; Ride,256,"['Ellington, Duke', 'Marsalis, Wynton', 'Jazz at Lincoln Center', 'New York Transit Museum', 'Jazz', 'Music', 'Subways']",2015-11-27,56589a4238f0d86d6ede4595
Dance Listings for Dec. 18-24,1330,"['Culture (Arts)', 'Dancing']",2015-12-18,567447b338f0d805d002ea19
Dance Listings for Dec. 11-17,2208,"['Dancing', 'Culture (Arts)']",2015-12-11,566a0bfa38f0d857ec8b0964
Washington’s Shaw Neighborhood Is Remade for Young Urbanites,1194,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)', 'Washington (DC)', 'JBG Cos']",2015-12-02,565e1ee538f0d8640ffa095b
"The Mets, the Royals and Charlie Parker, Linked by Autumn in New York",1078,"['Baseball', 'Ellington, Duke', 'Parker, Charlie', 'Kansas City Royals', 'New York Mets', 'World Series', 'Music', 'Kansas City (Kan)', 'New York City', 'Jazz', 'Birdland (Manhattan, NY)', 'Count Basie Orchestra', 'New York Giants (Baseball)', 'Coltrane, John', 'Armstrong, Louis']",2015-11-01,563331ad38f0d8310a2a0755
"Gene Norman, Music Producer With an Ear for Jazz, Dies at 93",582,"['Deaths (Obituaries)', 'Jazz', 'Norman, Gene (1922-2015)']",2015-11-16,56464e6138f0d853f8379b62
Fantasy Football Week 10: Rankings and Matchup Analysis,3588,"['Football', 'Fantasy Sports']",2015-11-14,56460b1838f0d8244c6375ad
"New Music From Nate Wooley, Alicia Hall Moran and Adam Larson",882,"['Music', 'Third Man Records', 'Moran, Alicia Hall', 'Wooley, Nate', 'Larson, Adam R (1990- )', 'Von Hausswolff, Anna']",2015-11-08,563a318338f0d8786b6fe694
Green-Wood Is the Brooklyn Cemetery With a Velvet Rope,1462,"['Cemeteries', 'Green-Wood Cemetery (Brooklyn, NY)', 'Parties (Social)', 'Brooklyn (NYC)']",2015-11-01,5633ed9338f0d85e68a21e53
Review: Dance Heginbotham Shows Off Its Eccentric Style at the Joyce,371,"['Dancing', 'Heginbotham, John', 'Joyce Theater', 'Dance Heginbotham']",2015-10-13,561c30a038f0d84d2f3b8a88
Fantasy Football Week 6: Rankings and Matchup Analysis,3078,"['Football', 'Fantasy Sports']",2015-10-17,5620f27f38f0d84dbbafe2d5
Fantasy Football Week 5: Rankings and Matchup Analysis,2909,"['Football', 'Fantasy Sports', 'Freeman, Devonta (1992- )']",2015-10-10,5618111e38f0d814e13702e1
"Phil Woods, Saxophonist Revered in Jazz and Heard on Hits, Dies at 83",724,"['Deaths (Obituaries)', 'Jazz', 'Saxophones', 'Woods, Phil (1931-2015)']",2015-09-30,560b30a238f0d84e27991244
Jazz Listings for Oct. 2-8,1769,"['Music', 'Jazz']",2015-10-02,560db8bb38f0d81aa77a51d2
Nancy Harms Celebrates Duke Ellington,326,"['Music', 'Jazz', 'Metropolitan Room', 'Harms, Nancy (Singer)']",2015-09-09,55ef4b7638f0d867b4c8968b
"Gary Keys, Filmmaker Who Documented Duke Ellington, Dies at 81",523,"['Deaths (Obituaries)', 'Documentary Films and Programs', 'Ellington, Duke', 'Jazz', 'Keys, Gary (1934-2015)']",2015-08-31,55e39f4738f0d84c14715dc4
"Review: &#8216;Negroland,&#8217; by Margo Jefferson, on Growing Up Black and Privileged",1122,"['Books and Literature', 'Jefferson, Margo', 'Blacks', 'Negroland: A Memoir (Book)']",2015-09-11,55f1fcd138f0d824d9bc6c83
"Corrections: September 3, 2015",594,[],2015-09-03,55e7e91638f0d80b7eeea706
"Paid Notice: Deaths  KEYS, GARY",195,"['KEYS, GARY']",2015-08-18,55dd2c6838f0d8657895ea0f
"Paid Notice: Deaths  KEYS, GARY ",194,[],2015-08-17,55d2f42038f0d80f08415c0c
"Kevin Henkes’s ‘Waiting,’ and More",1059,"['Books and Literature', 'Henkes, Kevin', 'Daywalt, Drew (1970- )', 'Pinkney, Brian', 'Jeffers, Oliver', 'Waiting (Book)', 'The Day the Crayons Came Home (Book)', 'On the Ball (Book)']",2015-08-23,55d741ff38f0d81d6b2f0148
‘Cuba: The Conversation Continues’ and ‘Live in Cuba’ Expand a Musical Dialogue,960,"['Music', 'Cuba', 'Jazz', 'United States International Relations', 'Marsalis, Wynton', ""O'Farrill, Arturo"", 'Jazz at Lincoln Center Orchestra', 'Afro Latin Jazz Orchestra']",2015-08-22,55d7998838f0d83feb7c3fa0
Beyond Green Eggs and Ham,2697,['News'],2015-07-29,55b890f738f0d878f9fef7ef
Times Critics’ Guide: What to Do This Week,476,['Culture (Arts)'],2015-07-21,55acf7df38f0d83cdf2a9bc9
Jazz Listings for July 17-23,1583,"['Music', 'Jazz']",2015-07-17,55a824ac38f0d87d1f9a7d7b
Review: &#8216;Thelonious&#8217; is a Tap Tribute to a Musician,418,"['Dancing', 'American Tap Dance Foundation', 'Monk, Thelonious', 'Music']",2015-07-11,55a031e738f0d8721baf65b2
"Charles Winick, Author Who Challenged Views on Drugs and Gender, Dies at 92",998,"['Deaths (Obituaries)', 'Archaeology and Anthropology', 'City University of New York', 'Winick, Charles (1922-2015)']",2015-07-13,55a30e1738f0d80f8ac35d4c
"Masabumi Kikuchi, Jazz Pianist Who Embraced Individualism, Dies at 75",557,"['Deaths (Obituaries)', 'Music', 'Jazz', 'Kikuchi, Masabumi']",2015-07-10,559f266538f0d8526a38bba9
Gunther Schuller Dies at 89; Composer Synthesized Classical and Jazz,1879,"['Deaths (Obituaries)', 'Music', 'Jazz', 'Classical Music', 'Schuller, Gunther']",2015-06-22,5587636b38f0d810c2364153
Review: Aaron Diehl&#8217;s &#8216;Space Time Continuum&#8217; Is a Jubilant New Album,461,"['Music', 'Jazz', 'Golson, Benny', 'Temperley, Joe', 'Diehl, Aaron']",2015-06-11,5578932638f0d808b502d28c
"Mario Cooper, Nexus Between AIDS Activists and Black Leaders, Dies at 61",810,"['Deaths (Obituaries)', 'Acquired Immune Deficiency Syndrome', 'Blacks', 'Cooper, Mario (1954-2015)']",2015-06-07,556facf238f0d865b59b35b9
"Review: Maria Schneider Orchestra&#8217;s &#8216;The Thompson Fields,&#8217; Connections to the Natural World",385,"['Music', 'Jazz', 'Schneider, Maria']",2015-06-02,556cc2e238f0d81d5c02cd44
"Dudley Williams, Eloquent Dancer Who Defied Age, Dies at 76",1136,"['Deaths (Obituaries)', 'Dancing', 'Williams, Dudley', 'Ailey, Alvin, American Dance Theater']",2015-06-04,556f9c0738f0d865b59b3596
Paperback Row,486,['Books and Literature'],2015-05-31,55688d4838f0d87c79ae5ee9
Cara McCarty,508,"['Cooper Hewitt, Smithsonian Design Museum', 'McCarty, Cara (1956- )']",2015-05-17,55578cc138f0d86cbb7b7a2e
"Stan Cornyn, Creative Record Executive, Is Dead at 81",765,"['Deaths (Obituaries)', 'Grammy Awards', 'Music', 'Warner Brothers', 'Cornyn, Stan (1933-2015)']",2015-05-16,555560ce38f0d833d435341f
Word of the Day | cantankerous,214,[],2015-05-05,5548411638f0d81a8df26666
‘Harlem Nights/U Street Lights’ Samples Two Jazz Sources,152,['Jazz'],2015-05-03,554794e438f0d8091569448a
"Louis Armstrong, the Real Ambassador",858,"['Music', 'Cold War Era', 'Blacks', 'United States International Relations', 'Jazz', 'Race and Ethnicity', 'Armstrong, Louis']",2015-05-02,55443d7638f0d85f67dd3571
Jazz Listings for May 1-7,2340,"['Music', 'Jazz']",2015-05-01,5542a23338f0d83d46e51e6b
"$1 Million Homes in Washington, D.C., Denver and Vermont",1070,"['Real Estate and Housing (Residential)', 'Denver (Colo)', 'Vermont', 'Washington (DC)']",2015-04-19,552e67a338f0d87fbef52e0d
"In ‘Something Rotten!,’ if Music Be the Food of Farce, Play On",1761,"['Theater', 'Shakespeare, William', 'Kirkpatrick, Wayne (1961- )', 'Kirkpatrick, Karey (1964- )', 'Nicholaw, Casey', ""O'Farrell, John (1962- )"", 'Something Rotten! (Play)']",2015-04-19,552fa44838f0d824112d690a
Jazz Listings for April 17-23,2079,"['Music', 'Jazz']",2015-04-17,553032fc38f0d847eef0f56a
A Piece of Harlem History Turns to Dust,591,"['Renaissance Theater and Casino (Manhattan, NY)', 'Historic Buildings and Sites', 'Harlem (Manhattan, NY)', 'Demolition', 'Blacks']",2015-04-12,55282ccc38f0d855b3a9512b
"Sugar Hill, Rich in Culture, and Affordable",1273,"['Real Estate and Housing (Residential)', 'Sugar Hill (Manhattan, NY)', 'Historic Buildings and Sites']",2015-04-12,552525df38f0d873d654723e
Jazz Listings for April 10-16,2087,"['Music', 'Jazz']",2015-04-10,5526fc9538f0d8359e979810
In Performance: T. Oliver Reid,205,"['Ellington, Duke', 'Jazz', 'Music', 'Reid, T Oliver', 'Theater']",2015-03-17,550817e338f0d87501d7055d
In Performance | T. Oliver Reid,34,"['Theater', 'Ellington, Duke', 'Metropolitan Room', 'Music', 'Reid, T Oliver']",2015-03-16,55071c2638f0d87501d70245
In Performance: T. Oliver Reid,31,"['Reid, T Oliver', 'Theater', 'Music', 'Metropolitan Room', 'Ellington, Duke']",2015-03-16,550717ef38f0d87501d70232
Ecuatoriana Restaurant Is a Link to Ecuador in Harlem,567,"['Restaurants', 'Hamilton Heights (Manhattan, NY)', 'Ecuadorean-Americans', 'Ecuatoriana Restaurant (Manhattan, NY, Restaurant)']",2015-03-29,5515cf5a38f0d84d44f0de14
Letters: The Content of Character,878,['Books and Literature'],2015-03-22,550b211b38f0d8631c7b1049
Jazz Listings for March 20-26,2214,"['Music', 'Jazz']",2015-03-20,550b526d38f0d8631c7b112a
"Orrin Keepnews, Record Executive and Producer of Jazz Classics, Dies at 91",984,"['Deaths (Obituaries)', 'Jazz', 'Music', 'Keepnews, Orrin (1923-2015)']",2015-03-02,54f357ef38f0d84018916389
Jazz That Spans Generations,939,"['Music', 'Jazz', 'New Haven (Conn)', 'Yale School of Music', 'Diehl, Aaron']",2015-03-01,54f23e4738f0d8529ba34a08
William Dieterle’s ‘Syncopation’ on DVD: Bending Notes and Jazz History,1267,"['Movies', 'Jazz', 'Video Releases (Entertainment)', 'William Dieterle (1893-1972)', 'Clarke, Shirley', 'Music', 'Syncopation (Movie)', 'The Connection (Movie)']",2015-03-01,54effca438f0d85d8e627423
"Clark Terry, Master of Jazz Trumpet, Dies at 94",1453,"['Deaths (Obituaries)', 'Music', 'Jazz', 'Terry, Clark (1920-2015)']",2015-02-23,54e9eb3538f0d8377bb76cbd
Amiri Baraka’s ‘S O S’,1185,"['Books and Literature', 'Baraka, Amiri', 'Poetry and Poets', 'S O S: Poems 1961-2013 (Book)']",2015-02-15,54db6e7938f0d8613900777f
Been Rich All My Life,43,[],2015-01-29,54ca014938f0d8372df4ba64
Which Literary Figure Is Overdue for a Biography?,1601,"['Books and Literature', 'Writing and Writers', 'Murray, Albert (1916-2013)', 'Wolfe, Tom']",2015-01-25,54be80b338f0d807ab72e00d
"Ervin Drake, Composer of Pop Songs, Dies at 95",686,"['Deaths (Obituaries)', 'Music', 'Drake, Ervin']",2015-01-17,54b9cc0e38f0d83735b5a8ca
Paperback Row,472,['Books and Literature'],2015-01-18,54b95f6238f0d83735b5a631
Peggy Cooper Cafritz: Everything in a Big Way,1802,"['Cafritz, Peggy Cooper', 'Interior Design and Furnishings', 'Art', 'Fires and Firefighters', 'Minorities']",2015-01-15,54b6fd1438f0d8598e1e88bf
Romantic Fancy in French Flavors,1296,"['Movies', 'Video Releases (Entertainment)', 'Gondry, Michel', 'Rohmer, Eric', 'Mood Indigo (Movie)', ""A Summer's Tale (Movie)""]",2015-01-11,54afe61038f0d84dd51add1e
Duke Ellington: Memories Of Duke,0,[],2015-01-01,54a55dce38f0d83a07dc783f
